supplier_id,company_id,legal_name,document_number,city,state,lead_time_days,delivery_delay_profile,payment_term_days,category_focus
SUP-001,cmp_nova_distribuidora,Fornecedor 001 Industria e Comercio Ltda,22000000000001,Jundiai,SP,8,baixo,22,Hidraulico
SUP-002,cmp_nova_distribuidora,Fornecedor 002 Industria e Comercio Ltda,22000000000002,Sao Paulo,SP,9,baixo,23,Ferramentas
SUP-003,cmp_nova_distribuidora,Fornecedor 003 Industria e Comercio Ltda,22000000000003,Sorocaba,SP,10,alto,24,Iluminacao
SUP-004,cmp_nova_distribuidora,Fornecedor 004 Industria e Comercio Ltda,22000000000004,Campinas,SP,11,baixo,25,Eletrico
SUP-005,cmp_nova_distribuidora,Fornecedor 005 Industria e Comercio Ltda,22000000000005,Jundiai,SP,12,baixo,26,Hidraulico
SUP-006,cmp_nova_distribuidora,Fornecedor 006 Industria e Comercio Ltda,22000000000006,Sao Paulo,SP,13,medio,27,Ferramentas
SUP-007,cmp_nova_distribuidora,Fornecedor 007 Industria e Comercio Ltda,22000000000007,Sorocaba,SP,14,alto,28,Iluminacao
SUP-008,cmp_nova_distribuidora,Fornecedor 008 Industria e Comercio Ltda,22000000000008,Campinas,SP,15,baixo,29,Eletrico
SUP-009,cmp_nova_distribuidora,Fornecedor 009 Industria e Comercio Ltda,22000000000009,Jundiai,SP,16,baixo,30,Hidraulico
SUP-010,cmp_nova_distribuidora,Fornecedor 010 Industria e Comercio Ltda,22000000000010,Sao Paulo,SP,17,baixo,31,Ferramentas
SUP-011,cmp_nova_distribuidora,Fornecedor 011 Industria e Comercio Ltda,22000000000011,Sorocaba,SP,18,alto,32,Iluminacao
SUP-012,cmp_nova_distribuidora,Fornecedor 012 Industria e Comercio Ltda,22000000000012,Campinas,SP,19,medio,33,Eletrico
SUP-013,cmp_nova_distribuidora,Fornecedor 013 Industria e Comercio Ltda,22000000000013,Jundiai,SP,20,baixo,34,Hidraulico
SUP-014,cmp_nova_distribuidora,Fornecedor 014 Industria e Comercio Ltda,22000000000014,Sao Paulo,SP,21,baixo,35,Ferramentas
SUP-015,cmp_nova_distribuidora,Fornecedor 015 Industria e Comercio Ltda,22000000000015,Sorocaba,SP,22,baixo,36,Iluminacao
SUP-016,cmp_nova_distribuidora,Fornecedor 016 Industria e Comercio Ltda,22000000000016,Campinas,SP,23,baixo,37,Eletrico
