source_record_id,legal_name,trade_name,document_number,status,billing_street,billing_number,billing_district,billing_city,billing_state,billing_country,billing_postal_code,contact_email,contact_phone,external_id
SRC-CUST-00001,Cliente 0001 Comercio e Servicos Ltda,Cliente 0001,13000000000001,active,Rua Comercial 1,2,Centro,Sumare,SP,Brasil,13001001,financeiro0001@cliente.com.br,19900000001,CLI-0001
SRC-CUST-00002,Cliente 0002 Comercio e Servicos Ltda,Cliente 0002,13000000000002,active,Rua Comercial 2,3,Centro,Valinhos,SP,Brasil,13002002,financeiro0002@cliente.com.br,19900000002,CLI-0002
SRC-CUST-00003,Cliente 0003 Comercio e Servicos Ltda,Cliente 0003,13000000000003,active,Rua Comercial 3,4,Centro,Hortolandia,SP,Brasil,13003003,financeiro0003@cliente.com.br,19900000003,CLI-0003
SRC-CUST-00004,Cliente 0004 Comercio e Servicos Ltda,Cliente 0004,13000000000004,active,Rua Comercial 4,5,Distrito Industrial,Paulinia,SP,Brasil,13004004,financeiro0004@cliente.com.br,19900000004,CLI-0004
SRC-CUST-00005,Cliente 0005 Comercio e Servicos Ltda,Cliente 0005,13000000000005,active,Rua Comercial 5,6,Centro,Campinas,SP,Brasil,13005005,financeiro0005@cliente.com.br,19900000005,CLI-0005
SRC-CUST-00006,Cliente 0006 Comercio e Servicos Ltda,Cliente 0006,13000000000006,active,Rua Comercial 6,7,Centro,Sumare,SP,Brasil,13006006,financeiro0006@cliente.com.br,19900000006,CLI-0006
SRC-CUST-00007,Cliente 0007 Comercio e Servicos Ltda,Cliente 0007,13000000000007,active,Rua Comercial 7,8,Centro,Valinhos,SP,Brasil,13007007,financeiro0007@cliente.com.br,19900000007,CLI-0007
SRC-CUST-00008,Cliente 0008 Comercio e Servicos Ltda,Cliente 0008,13000000000008,active,Rua Comercial 8,9,Distrito Industrial,Hortolandia,SP,Brasil,13008008,financeiro0008@cliente.com.br,19900000008,CLI-0008
SRC-CUST-00009,Cliente 0009 Comercio e Servicos Ltda,Cliente 0009,13000000000009,active,Rua Comercial 9,10,Centro,Paulinia,SP,Brasil,13009009,financeiro0009@cliente.com.br,19900000009,CLI-0009
SRC-CUST-00010,Cliente 0010 Comercio e Servicos Ltda,Cliente 0010,13000000000010,active,Rua Comercial 10,11,Centro,Campinas,SP,Brasil,13010010,financeiro0010@cliente.com.br,19900000010,CLI-0010
SRC-CUST-00011,Cliente 0011 Comercio e Servicos Ltda,Cliente 0011,13000000000011,active,Rua Comercial 11,12,Centro,Sumare,SP,Brasil,13011011,financeiro0011@cliente.com.br,19900000011,CLI-0011
SRC-CUST-00012,Cliente 0012 Comercio e Servicos Ltda,Cliente 0012,13000000000012,active,Rua Comercial 12,13,Distrito Industrial,Valinhos,SP,Brasil,13012012,financeiro0012@cliente.com.br,19900000012,CLI-0012
SRC-CUST-00013,Cliente 0013 Comercio e Servicos Ltda,Cliente 0013,13000000000013,active,Rua Comercial 13,14,Centro,Hortolandia,SP,Brasil,13013013,financeiro0013@cliente.com.br,19900000013,CLI-0013
SRC-CUST-00014,Cliente 0014 Comercio e Servicos Ltda,Cliente 0014,13000000000014,active,Rua Comercial 14,15,Centro,Paulinia,SP,Brasil,13014014,financeiro0014@cliente.com.br,19900000014,CLI-0014
SRC-CUST-00015,Cliente 0015 Comercio e Servicos Ltda,Cliente 0015,13000000000015,active,Rua Comercial 15,16,Centro,Campinas,SP,Brasil,13015015,financeiro0015@cliente.com.br,19900000015,CLI-0015
SRC-CUST-00016,Cliente 0016 Comercio e Servicos Ltda,Cliente 0016,13000000000016,active,Rua Comercial 16,17,Distrito Industrial,Sumare,SP,Brasil,13016016,financeiro0016@cliente.com.br,19900000016,CLI-0016
SRC-CUST-00017,Cliente 0017 Comercio e Servicos Ltda,Cliente 0017,13000000000017,active,Rua Comercial 17,18,Centro,Valinhos,SP,Brasil,13017017,financeiro0017@cliente.com.br,19900000017,CLI-0017
SRC-CUST-00018,Cliente 0018 Comercio e Servicos Ltda,Cliente 0018,13000000000018,active,Rua Comercial 18,19,Centro,Hortolandia,SP,Brasil,13018018,financeiro0018@cliente.com.br,19900000018,CLI-0018
SRC-CUST-00019,Cliente 0019 Comercio e Servicos Ltda,Cliente 0019,13000000000019,active,Rua Comercial 19,20,Centro,Paulinia,SP,Brasil,13019019,financeiro0019@cliente.com.br,19900000019,CLI-0019
SRC-CUST-00020,Cliente 0020 Comercio e Servicos Ltda,Cliente 0020,13000000000020,active,Rua Comercial 20,21,Distrito Industrial,Campinas,SP,Brasil,13020020,financeiro0020@cliente.com.br,19900000020,CLI-0020
SRC-CUST-00021,Cliente 0021 Comercio e Servicos Ltda,Cliente 0021,13000000000021,active,Rua Comercial 21,22,Centro,Sumare,SP,Brasil,13021021,financeiro0021@cliente.com.br,19900000021,CLI-0021
SRC-CUST-00022,Cliente 0022 Comercio e Servicos Ltda,Cliente 0022,13000000000022,active,Rua Comercial 22,23,Centro,Valinhos,SP,Brasil,13022022,financeiro0022@cliente.com.br,19900000022,CLI-0022
SRC-CUST-00023,Cliente 0023 Comercio e Servicos Ltda,Cliente 0023,13000000000023,active,Rua Comercial 23,24,Centro,Hortolandia,SP,Brasil,13023023,financeiro0023@cliente.com.br,19900000023,CLI-0023
SRC-CUST-00024,Cliente 0024 Comercio e Servicos Ltda,Cliente 0024,13000000000024,active,Rua Comercial 24,25,Distrito Industrial,Paulinia,SP,Brasil,13024024,financeiro0024@cliente.com.br,19900000024,CLI-0024
SRC-CUST-00025,Cliente 0025 Comercio e Servicos Ltda,Cliente 0025,13000000000025,active,Rua Comercial 25,26,Centro,Campinas,SP,Brasil,13025025,financeiro0025@cliente.com.br,19900000025,CLI-0025
SRC-CUST-00026,Cliente 0026 Comercio e Servicos Ltda,Cliente 0026,13000000000026,active,Rua Comercial 26,27,Centro,Sumare,SP,Brasil,13026026,financeiro0026@cliente.com.br,19900000026,CLI-0026
SRC-CUST-00027,Cliente 0027 Comercio e Servicos Ltda,Cliente 0027,13000000000027,active,Rua Comercial 27,28,Centro,Valinhos,SP,Brasil,13027027,financeiro0027@cliente.com.br,19900000027,CLI-0027
SRC-CUST-00028,Cliente 0028 Comercio e Servicos Ltda,Cliente 0028,13000000000028,active,Rua Comercial 28,29,Distrito Industrial,Hortolandia,SP,Brasil,13028028,financeiro0028@cliente.com.br,19900000028,CLI-0028
SRC-CUST-00029,Cliente 0029 Comercio e Servicos Ltda,Cliente 0029,13000000000029,inactive,Rua Comercial 29,30,Centro,Paulinia,SP,Brasil,13029029,financeiro0029@cliente.com.br,19900000029,CLI-0029
SRC-CUST-00030,Cliente 0030 Comercio e Servicos Ltda,Cliente 0030,13000000000030,active,Rua Comercial 30,31,Centro,Campinas,SP,Brasil,13030030,financeiro0030@cliente.com.br,19900000030,CLI-0030
SRC-CUST-00031,Cliente 0031 Comercio e Servicos Ltda,Cliente 0031,13000000000031,active,Rua Comercial 31,32,Centro,Sumare,SP,Brasil,13031031,financeiro0031@cliente.com.br,19900000031,CLI-0031
SRC-CUST-00032,Cliente 0032 Comercio e Servicos Ltda,Cliente 0032,13000000000032,active,Rua Comercial 32,33,Distrito Industrial,Valinhos,SP,Brasil,13032032,financeiro0032@cliente.com.br,19900000032,CLI-0032
SRC-CUST-00033,Cliente 0033 Comercio e Servicos Ltda,Cliente 0033,13000000000033,active,Rua Comercial 33,34,Centro,Hortolandia,SP,Brasil,13033033,financeiro0033@cliente.com.br,19900000033,CLI-0033
SRC-CUST-00034,Cliente 0034 Comercio e Servicos Ltda,Cliente 0034,13000000000034,active,Rua Comercial 34,35,Centro,Paulinia,SP,Brasil,13034034,financeiro0034@cliente.com.br,19900000034,CLI-0034
SRC-CUST-00035,Cliente 0035 Comercio e Servicos Ltda,Cliente 0035,13000000000035,active,Rua Comercial 35,36,Centro,Campinas,SP,Brasil,13035035,financeiro0035@cliente.com.br,19900000035,CLI-0035
SRC-CUST-00036,Cliente 0036 Comercio e Servicos Ltda,Cliente 0036,13000000000036,active,Rua Comercial 36,37,Distrito Industrial,Sumare,SP,Brasil,13036036,financeiro0036@cliente.com.br,19900000036,CLI-0036
SRC-CUST-00037,Cliente 0037 Comercio e Servicos Ltda,Cliente 0037,13000000000037,active,Rua Comercial 37,38,Centro,Valinhos,SP,Brasil,13037037,financeiro0037@cliente.com.br,19900000037,CLI-0037
SRC-CUST-00038,Cliente 0038 Comercio e Servicos Ltda,Cliente 0038,13000000000038,active,Rua Comercial 38,39,Centro,Hortolandia,SP,Brasil,13038038,financeiro0038@cliente.com.br,19900000038,CLI-0038
SRC-CUST-00039,Cliente 0039 Comercio e Servicos Ltda,Cliente 0039,13000000000039,active,Rua Comercial 39,40,Centro,Paulinia,SP,Brasil,13039039,financeiro0039@cliente.com.br,19900000039,CLI-0039
SRC-CUST-00040,Cliente 0040 Comercio e Servicos Ltda,Cliente 0040,13000000000040,active,Rua Comercial 40,41,Distrito Industrial,Campinas,SP,Brasil,13040040,financeiro0040@cliente.com.br,19900000040,CLI-0040
SRC-CUST-00041,Cliente 0041 Comercio e Servicos Ltda,Cliente 0041,13000000000041,active,Rua Comercial 41,42,Centro,Sumare,SP,Brasil,13041041,financeiro0041@cliente.com.br,19900000041,CLI-0041
SRC-CUST-00042,Cliente 0042 Comercio e Servicos Ltda,Cliente 0042,13000000000042,active,Rua Comercial 42,43,Centro,Valinhos,SP,Brasil,13042042,financeiro0042@cliente.com.br,19900000042,CLI-0042
SRC-CUST-00043,Cliente 0043 Comercio e Servicos Ltda,Cliente 0043,13000000000043,active,Rua Comercial 43,44,Centro,Hortolandia,SP,Brasil,13043043,financeiro0043@cliente.com.br,19900000043,CLI-0043
SRC-CUST-00044,Cliente 0044 Comercio e Servicos Ltda,Cliente 0044,13000000000044,active,Rua Comercial 44,45,Distrito Industrial,Paulinia,SP,Brasil,13044044,financeiro0044@cliente.com.br,19900000044,CLI-0044
SRC-CUST-00045,Cliente 0045 Comercio e Servicos Ltda,Cliente 0045,13000000000045,active,Rua Comercial 45,46,Centro,Campinas,SP,Brasil,13045045,financeiro0045@cliente.com.br,19900000045,CLI-0045
SRC-CUST-00046,Cliente 0046 Comercio e Servicos Ltda,Cliente 0046,13000000000046,active,Rua Comercial 46,47,Centro,Sumare,SP,Brasil,13046046,financeiro0046@cliente.com.br,19900000046,CLI-0046
SRC-CUST-00047,Cliente 0047 Comercio e Servicos Ltda,Cliente 0047,13000000000047,active,Rua Comercial 47,48,Centro,Valinhos,SP,Brasil,13047047,financeiro0047@cliente.com.br,19900000047,CLI-0047
SRC-CUST-00048,Cliente 0048 Comercio e Servicos Ltda,Cliente 0048,13000000000048,active,Rua Comercial 48,49,Distrito Industrial,Hortolandia,SP,Brasil,13048048,financeiro0048@cliente.com.br,19900000048,CLI-0048
SRC-CUST-00049,Cliente 0049 Comercio e Servicos Ltda,Cliente 0049,13000000000049,active,Rua Comercial 49,50,Centro,Paulinia,SP,Brasil,13049049,financeiro0049@cliente.com.br,19900000049,CLI-0049
SRC-CUST-00050,Cliente 0050 Comercio e Servicos Ltda,Cliente 0050,13000000000050,active,Rua Comercial 50,51,Centro,Campinas,SP,Brasil,13050050,financeiro0050@cliente.com.br,19900000050,CLI-0050
SRC-CUST-00051,Cliente 0051 Comercio e Servicos Ltda,Cliente 0051,13000000000051,active,Rua Comercial 51,52,Centro,Sumare,SP,Brasil,13051051,financeiro0051@cliente.com.br,19900000051,CLI-0051
SRC-CUST-00052,Cliente 0052 Comercio e Servicos Ltda,Cliente 0052,13000000000052,active,Rua Comercial 52,53,Distrito Industrial,Valinhos,SP,Brasil,13052052,financeiro0052@cliente.com.br,19900000052,CLI-0052
SRC-CUST-00053,Cliente 0053 Comercio e Servicos Ltda,Cliente 0053,13000000000053,active,Rua Comercial 53,54,Centro,Hortolandia,SP,Brasil,13053053,financeiro0053@cliente.com.br,19900000053,CLI-0053
SRC-CUST-00054,Cliente 0054 Comercio e Servicos Ltda,Cliente 0054,13000000000054,active,Rua Comercial 54,55,Centro,Paulinia,SP,Brasil,13054054,financeiro0054@cliente.com.br,19900000054,CLI-0054
SRC-CUST-00055,Cliente 0055 Comercio e Servicos Ltda,Cliente 0055,13000000000055,active,Rua Comercial 55,56,Centro,Campinas,SP,Brasil,13055055,financeiro0055@cliente.com.br,19900000055,CLI-0055
SRC-CUST-00056,Cliente 0056 Comercio e Servicos Ltda,Cliente 0056,13000000000056,active,Rua Comercial 56,57,Distrito Industrial,Sumare,SP,Brasil,13056056,financeiro0056@cliente.com.br,19900000056,CLI-0056
SRC-CUST-00057,Cliente 0057 Comercio e Servicos Ltda,Cliente 0057,13000000000057,active,Rua Comercial 57,58,Centro,Valinhos,SP,Brasil,13057057,financeiro0057@cliente.com.br,19900000057,CLI-0057
SRC-CUST-00058,Cliente 0058 Comercio e Servicos Ltda,Cliente 0058,13000000000058,inactive,Rua Comercial 58,59,Centro,Hortolandia,SP,Brasil,13058058,financeiro0058@cliente.com.br,19900000058,CLI-0058
SRC-CUST-00059,Cliente 0059 Comercio e Servicos Ltda,Cliente 0059,13000000000059,active,Rua Comercial 59,60,Centro,Paulinia,SP,Brasil,13059059,financeiro0059@cliente.com.br,19900000059,CLI-0059
SRC-CUST-00060,Cliente 0060 Comercio e Servicos Ltda,Cliente 0060,13000000000060,active,Rua Comercial 60,61,Distrito Industrial,Campinas,SP,Brasil,13060060,financeiro0060@cliente.com.br,19900000060,CLI-0060
SRC-CUST-00061,Cliente 0061 Comercio e Servicos Ltda,Cliente 0061,13000000000061,active,Rua Comercial 61,62,Centro,Sumare,SP,Brasil,13061061,financeiro0061@cliente.com.br,19900000061,CLI-0061
SRC-CUST-00062,Cliente 0062 Comercio e Servicos Ltda,Cliente 0062,13000000000062,active,Rua Comercial 62,63,Centro,Valinhos,SP,Brasil,13062062,financeiro0062@cliente.com.br,19900000062,CLI-0062
SRC-CUST-00063,Cliente 0063 Comercio e Servicos Ltda,Cliente 0063,13000000000063,active,Rua Comercial 63,64,Centro,Hortolandia,SP,Brasil,13063063,financeiro0063@cliente.com.br,19900000063,CLI-0063
SRC-CUST-00064,Cliente 0064 Comercio e Servicos Ltda,Cliente 0064,13000000000064,active,Rua Comercial 64,65,Distrito Industrial,Paulinia,SP,Brasil,13064064,financeiro0064@cliente.com.br,19900000064,CLI-0064
SRC-CUST-00065,Cliente 0065 Comercio e Servicos Ltda,Cliente 0065,13000000000065,active,Rua Comercial 65,66,Centro,Campinas,SP,Brasil,13065065,financeiro0065@cliente.com.br,19900000065,CLI-0065
SRC-CUST-00066,Cliente 0066 Comercio e Servicos Ltda,Cliente 0066,13000000000066,active,Rua Comercial 66,67,Centro,Sumare,SP,Brasil,13066066,financeiro0066@cliente.com.br,19900000066,CLI-0066
SRC-CUST-00067,Cliente 0067 Comercio e Servicos Ltda,Cliente 0067,13000000000067,active,Rua Comercial 67,68,Centro,Valinhos,SP,Brasil,13067067,financeiro0067@cliente.com.br,19900000067,CLI-0067
SRC-CUST-00068,Cliente 0068 Comercio e Servicos Ltda,Cliente 0068,13000000000068,active,Rua Comercial 68,69,Distrito Industrial,Hortolandia,SP,Brasil,13068068,financeiro0068@cliente.com.br,19900000068,CLI-0068
SRC-CUST-00069,Cliente 0069 Comercio e Servicos Ltda,Cliente 0069,13000000000069,active,Rua Comercial 69,70,Centro,Paulinia,SP,Brasil,13069069,financeiro0069@cliente.com.br,19900000069,CLI-0069
SRC-CUST-00070,Cliente 0070 Comercio e Servicos Ltda,Cliente 0070,13000000000070,active,Rua Comercial 70,71,Centro,Campinas,SP,Brasil,13070070,financeiro0070@cliente.com.br,19900000070,CLI-0070
